Algorithm,Sample Size,Elapsed Time (ms)
Bubble,10000,230
Bubble,20000,894
Bubble,30000,2027
Bubble,40000,3655
Bubble,50000,5754
Bubble,60000,8307
Bubble,70000,11323
Bubble,80000,14794
Bubble,90000,18714
Bubble,100000,23104
Bubble,110000,27903
Bubble,120000,33253
Bubble,130000,38989
Bubble,140000,45268
Bubble,150000,51936
Bubble,160000,59181
Bubble,170000,66687
Bubble,180000,74743
Bubble,190000,83324
Bubble,200000,92296
Bubble,210000,101775
Bubble,220000,111428
Bubble,230000,121969
Bubble,240000,133169
Bubble,250000,143754
Bubble,260000,155731
Bubble,270000,168486
Bubble,280000,181149
Bubble,290000,194275
Bubble,300000,208336
Bubble,310000,221722
Bubble,320000,236014
Bubble,330000,251193
Bubble,340000,267069
Bubble,350000,282334
Bubble,360000,299689
Bubble,370000,316928
Bubble,380000,333080
Bubble,390000,350940
Bubble,400000,370660
Bubble,410000,388501
Bubble,420000,407600
Bubble,430000,426625
Bubble,440000,447045
Bubble,450000,467531
Bubble,460000,488171
Bubble,470000,510805
Bubble,480000,530858
Bubble,490000,554741
Bubble,500000,576821
Bubble,510000,600565
Bubble,520000,624560
Bubble,530000,648486
Bubble,540000,672821
Bubble,550000,698073
Bubble,560000,723968
Bubble,570000,749798
Bubble,580000,775457
Bubble,590000,803617
Bubble,600000,830622
Bubble,610000,855630
Bubble,620000,886838
Bubble,630000,915730
Bubble,640000,944288
Bubble,650000,975878
Bubble,660000,1004836
Bubble,670000,1035994
Bubble,680000,1065140
Bubble,690000,1099150
Bubble,700000,1129132
Bubble,710000,1161279
Bubble,720000,1195480
Bubble,730000,1231101
Bubble,740000,1264363
Bubble,750000,1298808
Bubble,760000,1335108
Bubble,770000,1368561
Bubble,780000,1405934
Bubble,790000,1438554
Bubble,800000,1475435
Bubble,810000,1509124
Bubble,820000,1551377
Bubble,830000,1588555
Bubble,840000,1630216
Bubble,850000,1667679
Bubble,860000,1705979
Bubble,870000,1746375
Bubble,880000,1786784
Bubble,890000,1828991
Bubble,900000,1866876
Bubble,910000,1906426
Bubble,920000,1950987
Bubble,930000,1996504
Bubble,940000,2039535
Bubble,950000,2084124
Bubble,960000,2128537
Bubble,970000,2173811
Bubble,980000,2214233
Bubble,990000,2258881
Bubble,1000000,2306492
