Algorithm,Sample Size,Elapsed Time (ms)
Insertion,10000,8
Insertion,20000,39
Insertion,30000,86
Insertion,40000,141
Insertion,50000,207
Insertion,60000,274
Insertion,70000,362
Insertion,80000,475
Insertion,90000,612
Insertion,100000,763
Insertion,110000,914
Insertion,120000,1091
Insertion,130000,1305
Insertion,140000,1512
Insertion,150000,1760
Insertion,160000,2007
Insertion,170000,2253
Insertion,180000,2515
Insertion,190000,2815
Insertion,200000,3145
Insertion,210000,3479
Insertion,220000,3799
Insertion,230000,4145
Insertion,240000,4533
Insertion,250000,4881
Insertion,260000,5316
Insertion,270000,5715
Insertion,280000,6187
Insertion,290000,6643
Insertion,300000,7221
Insertion,310000,7548
Insertion,320000,8040
Insertion,330000,8561
Insertion,340000,9069
Insertion,350000,9632
Insertion,360000,10127
Insertion,370000,10676
Insertion,380000,11267
Insertion,390000,11873
Insertion,400000,12441
Insertion,410000,13107
Insertion,420000,13783
Insertion,430000,14426
Insertion,440000,15106
Insertion,450000,15850
Insertion,460000,16600
Insertion,470000,17254
Insertion,480000,18008
Insertion,490000,18725
Insertion,500000,19537
Insertion,510000,20241
Insertion,520000,20941
Insertion,530000,21809
Insertion,540000,22611
Insertion,550000,23466
Insertion,560000,24308
Insertion,570000,25244
Insertion,580000,26143
Insertion,590000,27064
Insertion,600000,28043
Insertion,610000,28965
Insertion,620000,29824
Insertion,630000,30774
Insertion,640000,31729
Insertion,650000,32816
Insertion,660000,33922
Insertion,670000,34916
Insertion,680000,35862
Insertion,690000,36965
Insertion,700000,37993
Insertion,710000,39102
Insertion,720000,40349
Insertion,730000,41484
Insertion,740000,42420
Insertion,750000,43621
Insertion,760000,44846
Insertion,770000,45986
Insertion,780000,47189
Insertion,790000,48361
Insertion,800000,49540
Insertion,810000,50891
Insertion,820000,52242
Insertion,830000,53373
Insertion,840000,54648
Insertion,850000,55937
Insertion,860000,57396
Insertion,870000,58613
Insertion,880000,59981
Insertion,890000,61332
Insertion,900000,62718
Insertion,910000,64044
Insertion,920000,65545
Insertion,930000,66984
Insertion,940000,68469
Insertion,950000,70070
Insertion,960000,71493
Insertion,970000,72974
Insertion,980000,74562
Insertion,990000,75947
Insertion,1000000,77635
