Algorithm,Sample Size,Elapsed Time(ms)
Bubble,1000,0
Bubble,11000,78
Bubble,21000,413
Bubble,31000,977
Bubble,41000,1822
Bubble,51000,2937
Bubble,61000,4348
Bubble,71000,5986
Bubble,81000,7904
Bubble,91000,10076
Bubble,101000,12606
Bubble,111000,15350
Bubble,121000,18329
Bubble,131000,21608
Bubble,141000,25220
Bubble,151000,29063
Bubble,161000,33212
Bubble,171000,37496
Bubble,181000,42141
Bubble,191000,47010
Bubble,201000,52158
Bubble,211000,58443
Bubble,221000,63403
Bubble,231000,69255
Bubble,241000,75605
Bubble,251000,84662
Bubble,261000,91847
Bubble,271000,98711
Bubble,281000,103214
Bubble,291000,113352
Bubble,301000,122861
Bubble,311000,130924
Bubble,321000,139878
Bubble,331000,148451
Bubble,341000,157471
Bubble,351000,166529
Bubble,361000,176996
Bubble,371000,186846
Bubble,381000,197553
Bubble,391000,208265
Bubble,401000,219459
Bubble,411000,230223
Bubble,421000,242476
Bubble,431000,253820
Bubble,441000,266020
Bubble,451000,278273
Bubble,461000,291131
Bubble,471000,303497
Bubble,481000,316485
Bubble,491000,329662
Bubble,501000,342243
Bubble,511000,356524
Bubble,521000,371358
Bubble,531000,385464
Bubble,541000,399909
Bubble,551000,415462
Bubble,561000,429385
Bubble,571000,445520
Bubble,581000,460340
Bubble,591000,477370
Bubble,601000,492546
Bubble,611000,508483
Bubble,621000,524464
Bubble,631000,540661
Bubble,641000,559192
Bubble,651000,577256
Bubble,661000,595046
Bubble,671000,613083
Bubble,681000,631697
Bubble,691000,650734
Bubble,701000,669409
Bubble,711000,688435
Bubble,721000,708743
Bubble,731000,725344
Bubble,741000,746990
Bubble,751000,767335
Bubble,761000,790201
Bubble,771000,811840
Bubble,781000,839110
Bubble,791000,862901
Bubble,801000,888877
Bubble,811000,909262
Bubble,821000,929935
Bubble,831000,954760
Bubble,841000,981237
Bubble,851000,1006405
Bubble,861000,1029965
Bubble,871000,1048544
Bubble,881000,1070490
Bubble,891000,1125639
Bubble,901000,1164197
Bubble,911000,1191706
Bubble,921000,1218038
Bubble,931000,1210252
Bubble,941000,1242391
Bubble,951000,1298229
Bubble,961000,1324318
Bubble,971000,1308433
Bubble,981000,1295033
Bubble,991000,1342363
Selection,1000,0
Selection,11000,16
Selection,21000,58
Selection,31000,128
Selection,41000,224
Selection,51000,344
Selection,61000,488
Selection,71000,659
Selection,81000,862
Selection,91000,1078
Selection,101000,1328
Selection,111000,1594
Selection,121000,1891
Selection,131000,2217
Selection,141000,2568
Selection,151000,2941
Selection,161000,3330
Selection,171000,3737
Selection,181000,4200
Selection,191000,4681
Selection,201000,5176
Selection,211000,5693
Selection,221000,6253
Selection,231000,6813
Selection,241000,7431
Selection,251000,8065
Selection,261000,8738
Selection,271000,9503
Selection,281000,10215
Selection,291000,10944
Selection,301000,11730
Selection,311000,12633
Selection,321000,13601
Selection,331000,14435
Selection,341000,15327
Selection,351000,16277
Selection,361000,17295
Selection,371000,18260
Selection,381000,19325
Selection,391000,20402
Selection,401000,21549
Selection,411000,22640
Selection,421000,23835
Selection,431000,24958
Selection,441000,26163
Selection,451000,27219
Selection,461000,28440
Selection,471000,29684
Selection,481000,30940
Selection,491000,32320
Selection,501000,33660
Selection,511000,33875
Selection,521000,34609
Selection,531000,36070
Selection,541000,37573
Selection,551000,39030
Selection,561000,40483
Selection,571000,41943
Selection,581000,43502
Selection,591000,45042
Selection,601000,46542
Selection,611000,48347
Selection,621000,49748
Selection,631000,51366
Selection,641000,53039
Selection,651000,56699
Selection,661000,58048
Selection,671000,59776
Selection,681000,61546
Selection,691000,63487
Selection,701000,64882
Selection,711000,66802
Selection,721000,68123
Selection,731000,69847
Selection,741000,71710
Selection,751000,73435
Selection,761000,75344
Selection,771000,77383
Selection,781000,79733
Selection,791000,81900
Selection,801000,84256
Selection,811000,86809
Selection,821000,88487
Selection,831000,89142
Selection,841000,90715
Selection,851000,92717
Selection,861000,95308
Selection,871000,96975
Selection,881000,99572
Selection,891000,102178
Selection,901000,104764
Selection,911000,107245
Selection,921000,109560
Selection,931000,111885
Selection,941000,114270
Selection,951000,116614
