Algorithm,Sample Size,Elapsed Time(ms)
Bubble,1000,0
Bubble,11000,82
Bubble,21000,444
Bubble,31000,1289
Bubble,41000,2259
Bubble,51000,3406
Bubble,61000,4809
Bubble,71000,6424
Bubble,81000,8878
Bubble,91000,10699
Selection,1000,0
Selection,11000,15
Selection,21000,65
Selection,31000,143
Selection,41000,234
Selection,51000,366
Selection,61000,515
Selection,71000,738
Selection,81000,939
Selection,91000,1145
Insertion,1000,0
Insertion,11000,13
Insertion,21000,53
Insertion,31000,136
Insertion,41000,240
Insertion,51000,402
Insertion,61000,593
Insertion,71000,784
Insertion,81000,1023
Insertion,91000,1268
