Algorithm,Sample Size,Elapsed Time (ms)
RadixLSD,100000,0
RadixLSD,200000,1
RadixLSD,300000,2
RadixLSD,400000,3
RadixLSD,500000,4
RadixLSD,600000,5
RadixLSD,700000,6
RadixLSD,800000,7
RadixLSD,900000,8
RadixLSD,1000000,9
RadixLSD,1100000,10
RadixLSD,1200000,10
RadixLSD,1300000,10
RadixLSD,1400000,11
RadixLSD,1500000,11
RadixLSD,1600000,12
RadixLSD,1700000,13
RadixLSD,1800000,14
RadixLSD,1900000,14
RadixLSD,2000000,15
RadixLSD,2100000,17
RadixLSD,2200000,17
RadixLSD,2300000,18
RadixLSD,2400000,19
RadixLSD,2500000,20
RadixLSD,2600000,21
RadixLSD,2700000,22
RadixLSD,2800000,23
RadixLSD,2900000,24
RadixLSD,3000000,25
RadixLSD,3100000,26
RadixLSD,3200000,27
RadixLSD,3300000,28
RadixLSD,3400000,29
RadixLSD,3500000,30
RadixLSD,3600000,31
RadixLSD,3700000,32
RadixLSD,3800000,33
RadixLSD,3900000,34
RadixLSD,4000000,35
RadixLSD,4100000,36
RadixLSD,4200000,37
RadixLSD,4300000,37
RadixLSD,4400000,38
RadixLSD,4500000,39
RadixLSD,4600000,40
RadixLSD,4700000,41
RadixLSD,4800000,42
RadixLSD,4900000,43
RadixLSD,5000000,44
RadixLSD,5100000,45
RadixLSD,5200000,46
RadixLSD,5300000,47
RadixLSD,5400000,48
RadixLSD,5500000,49
RadixLSD,5600000,50
RadixLSD,5700000,50
RadixLSD,5800000,51
RadixLSD,5900000,52
RadixLSD,6000000,53
RadixLSD,6100000,54
RadixLSD,6200000,55
RadixLSD,6300000,55
RadixLSD,6400000,49
RadixLSD,6500000,50
RadixLSD,6600000,51
RadixLSD,6700000,52
RadixLSD,6800000,53
RadixLSD,6900000,53
RadixLSD,7000000,54
RadixLSD,7100000,55
RadixLSD,7200000,56
RadixLSD,7300000,57
RadixLSD,7400000,57
RadixLSD,7500000,58
RadixLSD,7600000,59
RadixLSD,7700000,60
RadixLSD,7800000,61
RadixLSD,7900000,61
RadixLSD,8000000,62
RadixLSD,8100000,63
RadixLSD,8200000,64
RadixLSD,8300000,65
RadixLSD,8400000,67
RadixLSD,8500000,67
RadixLSD,8600000,68
RadixLSD,8700000,69
RadixLSD,8800000,70
RadixLSD,8900000,70
RadixLSD,9000000,71
RadixLSD,9100000,72
RadixLSD,9200000,73
RadixLSD,9300000,74
RadixLSD,9400000,74
RadixLSD,9500000,75
RadixLSD,9600000,75
RadixLSD,9700000,76
RadixLSD,9800000,77
RadixLSD,9900000,78
RadixLSD,10000000,79
RadixMSD,100000,6
RadixMSD,200000,8
RadixMSD,300000,9
RadixMSD,400000,9
RadixMSD,500000,10
RadixMSD,600000,11
RadixMSD,700000,12
RadixMSD,800000,14
RadixMSD,900000,15
RadixMSD,1000000,16
RadixMSD,1100000,18
RadixMSD,1200000,20
RadixMSD,1300000,21
RadixMSD,1400000,23
RadixMSD,1500000,25
RadixMSD,1600000,27
RadixMSD,1700000,29
RadixMSD,1800000,31
RadixMSD,1900000,33
RadixMSD,2000000,35
RadixMSD,2100000,38
RadixMSD,2200000,40
RadixMSD,2300000,43
RadixMSD,2400000,45
RadixMSD,2500000,48
RadixMSD,2600000,50
RadixMSD,2700000,53
RadixMSD,2800000,56
RadixMSD,2900000,59
RadixMSD,3000000,62
RadixMSD,3100000,65
RadixMSD,3200000,69
RadixMSD,3300000,72
RadixMSD,3400000,75
RadixMSD,3500000,79
RadixMSD,3600000,82
RadixMSD,3700000,85
RadixMSD,3800000,89
RadixMSD,3900000,92
RadixMSD,4000000,94
RadixMSD,4100000,99
RadixMSD,4200000,103
RadixMSD,4300000,105
RadixMSD,4400000,110
RadixMSD,4500000,113
RadixMSD,4600000,117
RadixMSD,4700000,121
RadixMSD,4800000,125
RadixMSD,4900000,127
RadixMSD,5000000,129
RadixMSD,5100000,133
RadixMSD,5200000,139
RadixMSD,5300000,143
RadixMSD,5400000,147
RadixMSD,5500000,150
RadixMSD,5600000,154
RadixMSD,5700000,158
RadixMSD,5800000,162
RadixMSD,5900000,166
RadixMSD,6000000,170
RadixMSD,6100000,174
RadixMSD,6200000,177
RadixMSD,6300000,181
RadixMSD,6400000,185
RadixMSD,6500000,189
RadixMSD,6600000,193
RadixMSD,6700000,197
RadixMSD,6800000,202
RadixMSD,6900000,205
RadixMSD,7000000,210
RadixMSD,7100000,214
RadixMSD,7200000,219
RadixMSD,7300000,223
RadixMSD,7400000,227
RadixMSD,7500000,231
RadixMSD,7600000,236
RadixMSD,7700000,240
RadixMSD,7800000,244
RadixMSD,7900000,248
RadixMSD,8000000,253
RadixMSD,8100000,257
RadixMSD,8200000,262
RadixMSD,8300000,266
RadixMSD,8400000,272
RadixMSD,8500000,277
RadixMSD,8600000,280
RadixMSD,8700000,284
RadixMSD,8800000,288
RadixMSD,8900000,292
RadixMSD,9000000,297
RadixMSD,9100000,301
RadixMSD,9200000,306
RadixMSD,9300000,310
RadixMSD,9400000,314
RadixMSD,9500000,319
RadixMSD,9600000,323
RadixMSD,9700000,328
RadixMSD,9800000,332
RadixMSD,9900000,337
RadixMSD,10000000,341
