Algorithm,Sample Size,Elapsed Time (ms)
Selection,10000,47
Selection,20000,181
Selection,30000,405
Selection,40000,615
Selection,50000,948
Selection,60000,1363
Selection,70000,1865
Selection,80000,2424
Selection,90000,3063
Selection,100000,3784
Selection,110000,4591
Selection,120000,5456
Selection,130000,6393
Selection,140000,7413
Selection,150000,8508
Selection,160000,9651
Selection,170000,11035
Selection,180000,12215
Selection,190000,13611
Selection,200000,15110
Selection,210000,16655
Selection,220000,18254
Selection,230000,19948
Selection,240000,21727
Selection,250000,23564
Selection,260000,25533
Selection,270000,27627
Selection,280000,29748
Selection,290000,31862
Selection,300000,33991
Selection,310000,36485
Selection,320000,38942
Selection,330000,41406
Selection,340000,44022
Selection,350000,46416
Selection,360000,49119
Selection,370000,51938
Selection,380000,54707
Selection,390000,57539
Selection,400000,60781
Selection,410000,63800
Selection,420000,66985
Selection,430000,70346
Selection,440000,73588
Selection,450000,76894
Selection,460000,80395
Selection,470000,84075
Selection,480000,87694
Selection,490000,91378
Selection,500000,95224
Selection,510000,99033
Selection,520000,102542
Selection,530000,106498
Selection,540000,110728
Selection,550000,115126
Selection,560000,119493
Selection,570000,124029
Selection,580000,128465
Selection,590000,133191
Selection,600000,137237
Selection,610000,141954
Selection,620000,146819
Selection,630000,151875
Selection,640000,156852
Selection,650000,161743
Selection,660000,166708
Selection,670000,171810
Selection,680000,177081
Selection,690000,182566
Selection,700000,187665
Selection,710000,193140
Selection,720000,198756
Selection,730000,204645
Selection,740000,210172
Selection,750000,216208
Selection,760000,221696
Selection,770000,227617
Selection,780000,233897
Selection,790000,239726
Selection,800000,244604
Selection,810000,251203
Selection,820000,258545
Selection,830000,264547
Selection,840000,271433
Selection,850000,278421
Selection,860000,285053
Selection,870000,291396
Selection,880000,298398
Selection,890000,305629
Selection,900000,312300
Selection,910000,319186
Selection,920000,326378
Selection,930000,333434
Selection,940000,340774
Selection,950000,348522
Selection,960000,355862
Selection,970000,363552
Selection,980000,370898
Selection,990000,379150
Selection,1000000,386633
